match_id,team,avg_passes_per_pos,pct_long_passes,padj_box_entries,pct_shots_set_piece,avg_def_height,ppda,pct_counterpress
3825848,Levante UD,2.74,17.75,2.67,83.33,53.76,2.44,26.7
3825848,Eibar,1.99,23.32,4.4,60.0,51.19,2.97,22.75
3825895,Las Palmas,2.2,18.95,3.24,66.67,45.89,3.68,29.55
3825895,Sevilla,2.73,15.32,6.25,56.25,55.64,2.62,29.95
3825894,RC Deportivo La Coruña,2.41,17.32,5.48,53.33,63.69,1.91,29.82
3825894,Getafe,2.15,19.4,4.03,66.67,47.35,2.07,21.93
3825855,Málaga,2.74,12.23,3.88,50.0,49.7,2.62,35.2
3825855,Levante UD,1.84,22.43,5.28,63.64,53.83,3.28,19.46
3825908,Espanyol,2.79,16.7,2.89,70.0,52.41,3.08,29.21
3825908,Eibar,2.52,19.62,5.27,23.08,58.92,2.19,33.61
3825883,Málaga,2.11,15.86,4.25,0.0,56.74,3.08,26.67
3825883,Las Palmas,3.74,11.99,3.57,50.0,47.13,3.06,31.61
3825900,Sporting Gijón,3.58,13.96,2.62,43.75,58.57,3.01,20.96
3825900,Villarreal,3.32,11.71,1.15,36.36,51.65,4.91,42.48
3825902,Rayo Vallecano,3.04,15.21,4.2,52.63,57.94,2.52,30.97
3825902,Levante UD,2.37,21.24,4.94,27.27,56.9,3.18,26.57
3825876,Real Betis,3.09,14.91,2.91,42.86,45.71,2.92,33.88
3825876,Getafe,2.17,22.22,5.56,57.14,61.55,2.84,27.4
3825846,RC Deportivo La Coruña,3.06,12.27,2.66,50.0,48.61,4.52,21.15
3825846,Real Madrid,4.47,10.17,2.29,56.25,58.22,2.33,31.65
3825869,Athletic Club,3.01,12.65,3.51,28.57,64.45,2.32,29.49
3825869,Sevilla,2.54,15.56,1.83,37.5,45.93,3.97,35.91
3825882,Atlético Madrid,2.6,13.37,4.59,63.64,54.34,3.43,29.6
3825882,Celta Vigo,3.04,12.16,3.94,71.43,48.01,2.43,31.05
3825849,Valencia,2.44,15.34,3.27,37.5,59.53,2.08,36.59
3825849,Real Sociedad,2.44,17.68,3.16,80.0,56.21,2.12,24.24
3825860,Levante UD,3.34,15.37,2.75,45.45,48.61,3.13,22.43
3825860,Atlético Madrid,2.69,13.76,5.04,29.41,53.32,3.08,20.0
3825847,Eibar,2.38,24.72,4.23,100.0,57.04,1.69,27.16
3825847,RC Deportivo La Coruña,2.56,19.84,2.66,55.56,54.14,1.83,26.07
3825817,Getafe,1.65,24.55,4.49,62.5,49.87,2.51,23.68
3825817,Eibar,2.65,15.32,4.23,65.0,60.52,1.74,32.89
3825778,Real Betis,2.65,15.26,4.02,72.22,63.12,1.55,30.33
3825778,Sporting Gijón,2.06,16.49,1.29,60.0,48.92,3.26,31.13
3825777,Levante UD,1.89,21.41,5.69,33.33,51.36,3.02,30.51
3825777,Getafe,2.28,20.04,5.79,64.29,55.29,1.69,29.37
3825740,Eibar,2.67,21.67,4.51,33.33,59.85,2.43,32.14
3825740,Granada,2.09,22.22,6.11,25.0,48.43,3.05,29.61
3825875,Villarreal,2.36,13.73,2.52,62.5,51.62,3.88,27.14
3825875,Real Sociedad,3.24,19.83,3.33,71.43,56.56,2.14,28.7
3825884,Sevilla,2.4,16.14,3.37,76.92,57.67,1.66,27.04
3825884,Real Betis,1.95,18.1,3.86,87.5,50.91,2.95,22.75
3825842,Levante UD,1.87,27.22,2.37,60.0,50.68,4.06,27.12
3825842,Athletic Club,3.31,14.24,5.76,57.89,54.89,2.69,31.55
3825890,Atlético Madrid,2.4,21.3,5.09,78.57,59.8,2.1,24.54
3825890,Málaga,2.54,15.53,2.07,71.43,45.7,2.63,37.79
3825871,Las Palmas,3.68,8.48,2.2,60.0,56.51,1.94,32.03
3825871,Espanyol,2.25,14.07,2.3,41.67,53.29,2.23,17.87
3825896,Granada,2.61,23.56,3.51,23.08,54.82,3.09,26.63
3825896,Levante UD,2.43,16.39,4.04,64.29,54.06,3.53,30.14
3825841,Real Sociedad,2.77,16.12,3.08,73.33,55.75,2.28,32.44
3825841,Getafe,1.97,14.94,1.77,28.57,48.3,3.18,28.51
3825843,Málaga,2.32,17.74,5.99,58.33,57.43,2.12,35.85
3825843,Rayo Vallecano,2.13,21.54,2.05,72.73,50.1,2.27,27.42
3825839,Sporting Gijón,2.35,15.65,5.43,35.71,54.0,2.98,24.45
3825839,Sevilla,2.75,13.46,3.27,83.33,52.02,3.32,37.72
3825838,Athletic Club,3.94,15.3,3.89,61.54,56.33,1.92,35.57
3825838,Atlético Madrid,2.05,18.27,3.3,50.0,51.36,4.21,28.19
3825840,Valencia,3.29,15.85,3.1,55.56,49.9,3.51,21.13
3825840,Eibar,3.09,18.6,2.33,33.33,59.84,2.64,25.64
3825837,Real Betis,3.22,13.01,4.88,61.9,57.9,2.8,21.3
3825837,Las Palmas,3.15,19.54,1.35,66.67,46.52,4.43,31.87
3825836,Rayo Vallecano,2.84,16.78,2.28,57.14,55.53,2.12,32.24
3825836,Villarreal,1.85,18.46,5.38,85.71,56.04,3.34,37.55
3825835,Málaga,2.41,16.48,3.66,55.56,51.5,2.98,23.36
3825835,Athletic Club,2.43,17.8,2.86,83.33,55.66,2.08,37.92
3825834,Atlético Madrid,3.25,11.45,3.76,62.5,58.21,2.21,35.63
3825834,Granada,2.55,16.28,2.52,63.64,46.63,4.39,22.16
3825906,Sevilla,3.47,12.88,4.92,50.0,60.77,2.61,25.64
3825906,RC Deportivo La Coruña,2.24,19.95,4.75,40.0,47.61,4.31,24.06
3825897,Eibar,2.05,22.47,4.04,75.0,54.56,2.44,29.11
3825897,Real Sociedad,2.7,17.43,3.37,71.43,53.5,2.4,28.38
3825889,Celta Vigo,3.55,13.2,4.93,55.56,60.53,1.61,26.01
3825889,Real Betis,1.84,21.58,2.13,40.0,44.74,4.38,22.65
3825833,Getafe,2.17,16.95,5.08,53.85,53.24,3.36,13.43
3825833,Real Madrid,3.73,12.89,3.14,45.45,54.42,2.39,32.76
3825857,Levante UD,2.62,18.64,5.0,58.33,57.03,2.71,36.84
3825857,Espanyol,2.28,22.77,4.7,50.0,49.38,3.64,25.53
3825863,RC Deportivo La Coruña,2.53,17.72,6.31,73.68,55.99,3.29,20.25
3825863,Las Palmas,4.11,13.94,1.84,38.46,49.79,2.98,33.13
3825829,Athletic Club,2.3,21.92,2.46,64.29,52.54,3.22,27.67
3825829,Rayo Vallecano,2.89,13.87,2.4,58.33,57.63,2.46,33.33
3825830,Villarreal,2.8,14.08,4.29,76.92,56.94,3.56,23.94
3825830,Getafe,2.46,17.89,4.13,52.94,51.77,2.26,20.77
3825832,Sporting Gijón,1.96,17.66,4.89,63.64,52.06,2.64,21.9
3825832,Celta Vigo,2.71,14.61,3.18,47.06,53.76,2.11,34.8
3825831,Valencia,2.41,16.17,3.7,52.17,60.43,2.15,35.62
3825831,Sevilla,2.15,17.15,5.56,71.43,47.46,2.57,30.66
3825828,Espanyol,2.71,18.24,5.61,70.0,52.52,2.5,25.21
3825828,Atlético Madrid,2.58,15.57,4.69,42.86,55.36,3.83,38.79
3825827,Real Betis,2.76,17.79,3.48,42.86,48.76,3.67,29.29
3825827,Levante UD,2.88,20.79,3.95,41.67,55.01,2.54,25.32
3825826,Granada,2.43,21.12,4.94,62.5,52.66,2.46,25.22
3825826,Málaga,2.55,17.26,3.81,55.56,47.55,3.45,30.96
3825825,Levante UD,2.51,14.98,5.7,58.82,57.8,1.81,24.21
3825825,Sporting Gijón,2.16,20.35,3.97,45.45,48.45,4.25,33.13
3825824,Eibar,2.62,16.44,5.16,41.67,59.36,1.89,27.81
3825824,Villarreal,2.45,15.63,2.2,50.0,47.27,2.91,32.38
3825823,Sevilla,2.98,11.63,5.38,73.33,59.86,1.87,42.41
3825823,Real Sociedad,1.62,24.84,3.73,75.0,44.52,3.09,27.34
3825905,Málaga,3.24,12.78,4.55,36.36,61.2,1.85,41.04
3825905,Espanyol,1.96,21.97,3.94,100.0,49.33,3.3,24.55
3825822,Las Palmas,3.38,11.93,2.29,15.38,57.64,1.94,33.19
3825822,Valencia,1.99,18.16,4.34,37.5,51.34,1.87,20.34
3825821,Espanyol,2.29,24.81,3.84,64.71,52.15,3.46,32.06
3825821,Athletic Club,3.13,16.34,5.62,46.15,56.39,1.99,33.49
3825820,Real Madrid,3.6,13.74,4.42,42.31,53.07,2.48,30.77
3825820,Sevilla,2.11,14.21,3.05,75.0,47.13,4.05,18.72
3825819,Valencia,2.52,14.94,4.98,35.71,57.38,1.85,35.33
3825819,Celta Vigo,2.51,16.9,2.24,46.15,51.7,2.64,22.96
3825818,Real Sociedad,3.19,14.24,5.53,73.33,65.1,1.9,30.43
3825818,Las Palmas,1.96,18.38,2.7,30.77,45.93,3.73,28.9
3825887,Granada,1.5,33.07,3.94,63.64,49.07,3.81,23.56
3825887,Rayo Vallecano,3.63,15.66,3.44,54.55,62.24,1.8,29.14
3825907,Sporting Gijón,3.64,13.11,3.56,66.67,60.58,2.04,38.79
3825907,Atlético Madrid,2.24,14.04,3.26,100.0,44.05,3.46,20.32
3825903,Real Betis,2.82,14.05,4.44,62.5,58.0,2.05,27.95
3825903,Málaga,2.32,17.21,4.19,57.14,51.31,2.12,33.11
3825816,Sevilla,2.96,16.08,4.54,28.57,51.92,2.72,22.34
3825816,Villarreal,2.59,14.46,2.41,38.46,54.03,3.61,29.81
3825815,Levante UD,2.21,18.2,5.44,64.29,59.05,2.16,28.46
3825815,Valencia,2.51,16.39,2.9,50.0,50.52,2.42,30.24
3825858,Rayo Vallecano,2.47,23.41,4.31,75.0,49.77,3.14,28.22
3825858,Eibar,1.75,28.37,7.16,57.14,56.89,2.89,27.01
3825813,Atlético Madrid,3.21,13.06,3.73,68.75,57.17,3.42,28.06
3825813,RC Deportivo La Coruña,2.83,19.15,1.81,66.67,48.21,2.83,25.23
3825814,Celta Vigo,1.95,18.05,3.51,14.29,49.59,2.83,20.82
3825814,Real Sociedad,2.78,15.9,3.84,60.0,56.04,2.17,33.48
3825812,Málaga,2.73,17.6,3.73,53.85,53.49,3.27,34.72
3825812,Sporting Gijón,2.75,16.05,2.15,22.22,56.22,2.55,25.99
3825811,Espanyol,1.75,24.33,4.0,33.33,55.87,3.51,22.78
3825811,Rayo Vallecano,3.34,12.59,2.55,57.14,54.17,1.8,31.79
3825807,Valencia,2.77,19.6,3.64,40.0,50.18,3.26,24.58
3825807,Atlético Madrid,3.32,11.78,3.93,71.43,56.75,2.43,30.12
3825809,Real Betis,2.12,20.05,3.85,63.64,52.52,2.95,24.54
3825809,Granada,2.96,16.27,3.64,50.0,51.14,2.79,28.0
3825810,Real Sociedad,2.69,14.84,5.94,40.0,61.86,2.05,29.69
3825810,Levante UD,1.84,20.57,3.34,70.0,42.69,3.55,29.81
3825808,Sporting Gijón,2.41,18.92,2.37,80.0,52.32,3.36,29.95
3825808,Athletic Club,2.92,13.37,4.21,81.82,55.21,2.54,32.17
3825804,RC Deportivo La Coruña,2.92,18.82,3.61,66.67,57.43,3.22,29.17
3825804,Málaga,2.55,18.56,3.02,60.0,48.13,3.89,22.84
3825867,Getafe,2.22,21.46,3.9,64.29,53.81,2.18,19.74
3825867,Sevilla,2.3,16.01,3.94,57.14,52.2,2.36,21.55
3825805,Villarreal,4.09,9.59,4.72,41.67,64.35,2.82,28.37
3825805,Las Palmas,3.07,15.07,2.64,10.0,45.09,3.7,26.27
3825784,Atlético Madrid,3.39,15.88,4.42,66.67,62.94,2.04,30.98
3825784,Villarreal,2.32,18.43,2.3,20.0,46.39,3.42,28.21
3825782,Granada,2.8,17.3,3.04,60.0,60.94,2.85,25.13
3825782,Valencia,2.29,13.94,1.99,18.18,48.57,2.71,23.74
3825757,Real Madrid,4.32,10.49,2.44,61.11,57.22,1.98,25.25
3825757,Espanyol,2.23,16.34,1.11,66.67,45.63,3.75,23.35
3825641,Athletic Club,2.89,17.98,4.35,55.0,56.39,2.66,24.02
3825641,Sporting Gijón,2.78,16.94,3.1,83.33,54.45,3.98,28.4
3825803,Granada,3.07,17.8,3.0,50.0,56.6,2.56,32.99
3825803,Sporting Gijón,2.46,16.43,3.05,25.0,50.36,3.63,18.59
3825800,Celta Vigo,4.0,11.42,5.64,63.64,63.01,1.69,31.16
3825800,Villarreal,1.97,12.24,2.99,66.67,41.71,5.53,20.59
3825801,Sevilla,2.73,14.51,4.17,66.67,50.65,3.35,23.74
3825801,Eibar,2.42,22.22,5.56,41.67,54.91,2.39,23.93
3825799,Málaga,2.07,15.97,6.88,90.0,60.61,2.19,34.91
3825799,Valencia,2.4,18.44,3.89,41.67,51.47,1.89,41.3
3825797,Athletic Club,3.2,13.16,2.74,53.85,50.39,2.98,32.61
3825797,RC Deportivo La Coruña,2.94,19.84,2.2,25.0,51.27,2.99,28.52
3825798,Levante UD,2.67,15.4,3.0,58.33,53.98,2.82,24.88
3825798,Real Madrid,3.0,18.78,3.87,47.62,52.72,2.97,26.48
3825796,Las Palmas,3.41,11.13,1.3,25.0,51.36,3.86,33.11
3825796,Getafe,2.56,12.62,3.04,80.0,56.13,2.83,21.59
3825795,Atlético Madrid,3.4,9.0,2.41,57.14,59.88,2.01,24.79
3825795,Real Sociedad,2.99,16.07,2.86,42.86,49.0,2.85,22.97
3825793,Valencia,3.04,17.51,3.07,55.56,51.92,2.92,20.8
3825793,Athletic Club,2.92,14.77,2.27,61.54,50.94,3.78,31.63
3825792,RC Deportivo La Coruña,3.61,15.62,5.21,64.29,57.7,2.34,40.0
3825792,Granada,2.09,20.27,3.56,50.0,42.79,3.91,22.07
3825794,Villarreal,3.1,13.28,3.04,22.22,56.78,3.06,30.19
3825794,Levante UD,2.89,14.54,3.39,62.5,60.21,2.98,30.16
3825788,Getafe,2.65,16.44,4.67,28.57,55.08,1.88,25.32
3825788,Celta Vigo,2.35,19.9,4.73,66.67,45.55,2.79,26.21
3825791,Real Betis,1.87,23.74,3.56,70.0,57.44,2.38,28.79
3825791,Rayo Vallecano,2.76,13.1,3.23,90.91,51.4,2.06,28.43
3825790,Sporting Gijón,2.85,13.23,3.41,85.71,50.55,3.1,33.51
3825790,Espanyol,2.41,18.03,3.51,41.67,49.35,3.4,32.18
3825787,Real Madrid,3.79,14.15,2.77,66.67,58.73,1.45,35.38
3825787,Atlético Madrid,1.76,16.76,3.91,90.0,49.83,3.12,25.61
3825789,Real Sociedad,2.74,18.65,6.15,100.0,60.21,1.93,27.1
3825789,Málaga,1.95,15.05,3.49,75.0,48.3,2.7,27.27
3825786,Eibar,2.45,19.71,5.87,70.0,59.71,2.38,30.74
3825786,Las Palmas,2.46,19.27,3.45,50.0,44.12,2.71,27.55
3825781,Rayo Vallecano,2.43,20.37,5.76,78.57,50.14,2.31,38.79
3825781,Sevilla,1.62,26.67,8.18,68.75,55.54,3.26,14.36
3825785,Málaga,1.82,24.71,5.59,54.55,54.09,3.36,28.21
3825785,Real Madrid,2.95,17.38,3.55,50.0,53.8,2.1,34.22
3825783,Athletic Club,2.68,20.12,5.66,70.0,55.7,1.94,35.41
3825783,Real Sociedad,1.79,21.14,2.57,55.56,47.57,3.83,23.71
3825780,Espanyol,2.02,18.92,5.68,43.75,54.31,3.05,26.24
3825780,RC Deportivo La Coruña,3.15,18.31,3.97,52.94,48.09,2.74,31.03
3825779,Celta Vigo,3.1,12.65,3.0,57.14,53.13,2.83,31.95
3825779,Eibar,1.88,19.17,1.39,57.14,56.12,3.32,25.99
3825773,Eibar,2.29,20.48,4.63,52.94,57.89,2.65,30.53
3825773,Levante UD,2.47,18.33,3.96,50.0,50.15,2.75,30.37
3825776,Sevilla,2.85,13.17,5.01,66.67,60.88,2.43,19.63
3825776,Las Palmas,2.66,15.67,2.79,54.55,45.06,4.19,31.09
3825775,Real Sociedad,2.06,20.67,4.33,66.67,49.88,2.72,26.81
3825775,Granada,2.19,19.65,2.38,78.57,53.11,2.51,30.35
3825769,Villarreal,2.65,16.7,2.95,50.0,57.26,2.5,32.29
3825769,Málaga,2.66,18.56,5.79,14.29,56.81,2.76,30.45
3825770,Real Madrid,4.15,10.91,2.42,21.05,49.46,2.77,24.38
3825770,Athletic Club,2.44,16.05,5.58,18.18,58.76,3.65,22.97
3825768,Sporting Gijón,1.92,20.33,3.79,27.27,54.7,3.11,23.17
3825768,Rayo Vallecano,3.03,13.36,3.17,75.0,56.05,2.27,25.98
3825736,Valencia,2.21,19.29,4.15,38.46,54.97,1.99,28.41
3825736,Rayo Vallecano,1.94,16.82,3.64,22.22,53.32,2.14,29.35
3825731,Las Palmas,3.33,13.82,2.22,40.0,50.56,2.4,31.9
3825731,Málaga,2.38,16.47,4.06,63.64,55.33,2.55,23.72
3825685,Sporting Gijón,1.97,26.18,5.68,50.0,56.1,3.1,17.27
3825685,Las Palmas,3.56,12.63,2.53,50.0,48.87,3.14,40.58
3825678,Eibar,1.93,21.64,4.98,75.0,62.83,2.78,27.5
3825678,Real Madrid,2.82,13.47,2.69,58.82,48.33,2.5,26.03
3825643,Real Madrid,3.65,10.5,4.11,52.94,60.45,3.25,29.9
3825643,Las Palmas,3.13,7.5,1.75,87.5,48.2,4.77,28.37
3825642,RC Deportivo La Coruña,3.18,22.03,1.92,42.86,51.2,3.77,26.75
3825642,Atlético Madrid,4.33,12.48,2.31,50.0,52.1,3.51,32.71
3825638,Atlético Madrid,2.51,12.66,3.53,56.25,63.72,2.71,35.05
3825638,Valencia,2.49,18.44,1.84,57.14,44.3,2.66,27.64
3825614,Granada,2.23,18.94,3.52,90.0,49.75,2.25,23.04
3825614,RC Deportivo La Coruña,2.03,18.49,3.41,57.14,51.83,2.9,25.94
3825612,Getafe,3.0,19.89,3.76,26.67,58.82,2.11,24.09
3825612,Levante UD,2.22,21.04,3.22,80.0,44.54,4.83,26.26
3825607,Villarreal,2.9,15.34,1.62,80.0,44.58,3.07,23.18
3825607,Atlético Madrid,3.11,14.26,4.47,40.0,63.19,2.7,28.69
3825595,Villarreal,2.29,15.74,3.63,50.0,57.69,2.87,22.27
3825595,Athletic Club,2.52,21.76,3.97,70.0,49.94,2.29,27.48
3825579,Sevilla,3.06,16.88,4.22,76.0,56.42,2.54,28.4
3825579,Atlético Madrid,1.9,17.51,2.37,17.65,42.75,4.7,30.5
3825572,Real Madrid,4.39,11.1,3.46,66.67,55.82,2.04,24.86
3825572,Real Betis,2.01,16.21,3.36,42.86,44.46,5.96,19.02
3825774,Getafe,3.82,12.46,1.74,83.33,51.96,2.08,26.5
3825774,Atlético Madrid,2.92,9.5,2.27,33.33,52.18,3.02,21.86
3825772,Valencia,2.67,15.7,3.23,72.22,50.84,2.0,24.73
3825772,Espanyol,1.87,23.36,5.92,55.0,50.47,3.16,18.39
3825771,RC Deportivo La Coruña,2.56,18.38,6.41,65.38,56.04,2.06,27.49
3825771,Real Betis,2.09,21.26,3.41,50.0,46.7,3.35,27.03
3825767,Espanyol,3.61,15.66,3.59,40.0,55.68,2.23,44.38
3825767,Real Sociedad,1.92,25.35,3.94,50.0,52.79,2.93,21.96
3825706,Celta Vigo,3.21,12.81,3.24,42.86,53.89,2.02,38.86
3825706,Athletic Club,1.72,20.51,5.7,46.15,53.84,2.39,27.12
3825712,Getafe,2.31,19.19,2.71,78.57,58.62,1.72,26.37
3825712,RC Deportivo La Coruña,2.21,21.18,5.18,40.0,48.86,2.36,21.9
3825708,Levante UD,1.95,20.25,4.05,42.86,53.79,2.45,26.17
3825708,Málaga,2.48,15.97,4.41,70.0,54.45,2.38,28.1
